[x, y, w, h]=[215,192,306,282]
[x, y, w, h]=[196,201,231,257]
[x, y, w, h]=[71,185,95,210]
[x, y, w, h]=[0,207,32,256]
[x, y, w, h]=[3,251,54,409]

[x, y, w, h]=[114,199,197,254]
[x, y, w, h]=[216,193,307,281]
[x, y, w, h]=[4,265,52,356]
[x, y, w, h]=[71,185,95,210]
[x, y, w, h]=[0,206,36,256]
[x, y, w, h]=[196,203,229,258]

[x, y, w, h]=[116,198,198,254]
[x, y, w, h]=[1,261,44,355]
[x, y, w, h]=[218,194,306,279]
[x, y, w, h]=[72,185,94,209]
[x, y, w, h]=[0,206,38,255]

[x, y, w, h]=[120,199,206,256]
[x, y, w, h]=[1,261,39,356]
[x, y, w, h]=[220,194,304,279]
[x, y, w, h]=[0,205,41,254]
[x, y, w, h]=[72,185,94,209]
[x, y, w, h]=[286,205,323,249]

[x, y, w, h]=[123,199,208,255]
[x, y, w, h]=[221,195,307,279]
[x, y, w, h]=[3,258,32,353]
[x, y, w, h]=[72,186,94,209]
[x, y, w, h]=[0,203,40,259]

[x, y, w, h]=[126,198,212,255]
[x, y, w, h]=[221,194,308,277]
[x, y, w, h]=[0,254,26,355]
[x, y, w, h]=[72,186,94,209]

[x, y, w, h]=[129,198,217,255]
[x, y, w, h]=[0,254,21,356]
[x, y, w, h]=[221,194,309,278]
[x, y, w, h]=[72,186,93,209]
[x, y, w, h]=[0,201,45,260]

[x, y, w, h]=[132,197,219,255]
[x, y, w, h]=[215,189,316,281]
[x, y, w, h]=[1,201,46,262]
[x, y, w, h]=[72,186,93,210]

[x, y, w, h]=[135,197,217,255]
[x, y, w, h]=[223,195,307,278]
[x, y, w, h]=[72,186,93,210]
[x, y, w, h]=[2,200,49,262]

[x, y, w, h]=[140,197,219,254]
[x, y, w, h]=[224,195,307,279]
[x, y, w, h]=[71,186,93,210]

[x, y, w, h]=[142,197,223,253]
[x, y, w, h]=[225,196,309,278]
[x, y, w, h]=[71,186,93,210]
[x, y, w, h]=[102,185,122,208]

[x, y, w, h]=[146,196,223,255]
[x, y, w, h]=[225,197,307,278]
[x, y, w, h]=[71,187,92,211]
[x, y, w, h]=[102,185,122,208]

[x, y, w, h]=[150,196,225,255]
[x, y, w, h]=[225,197,305,278]
[x, y, w, h]=[281,198,346,257]
